Time (s) Run #1,Position (m) Run #1,Time (s) Run #2,Position (m) Run #2,Time (s) Run #3,Position (m) Run #3,Time (s) Run #4,Position (m) Run #4,Time (s) Run #5,Position (m) Run #5,Time (s) Run #6,Position (m) Run #6,Time (s) Run #7,Position (m) Run #7,Time (s) Run #8,Position (m) Run #8,Time (s) Run #9,Position (m) Run #9,Time (s) Run #10,Position (m) Run #10
0.74,1.07,0.74,0.89,0.74,1.17,0.74,1.24,0.74,1.14,0.74,0.89,0.74,0.96,0.74,0.57,0.74,0.94,0.74,0.57
0.76,1.05,0.76,0.87,0.76,1.17,0.76,1.25,0.76,1.12,0.76,0.87,0.76,0.93,0.76,0.54,0.76,0.93,0.76,0.54
0.78,1.0,0.78,0.85,0.78,1.17,0.78,1.22,0.78,1.09,0.78,0.86,0.78,0.9,0.78,0.5,0.78,0.91,0.78,0.52
0.82,0.91,0.82,0.82,0.82,1.16,0.82,1.23,0.82,1.03,0.82,0.79,0.82,0.83,0.82,0.42,0.82,0.88,0.82,0.46
0.84,0.86,0.84,0.81,0.84,1.18,0.84,1.22,0.84,1.0,0.84,0.75,0.84,0.8,0.84,0.38,0.84,0.86,0.84,0.44
0.86,0.82,0.86,0.79,0.86,1.17,0.86,1.23,0.86,0.96,0.86,0.71,0.86,0.76,0.86,0.35,0.86,0.84,0.86,0.41
0.88,0.77,0.88,0.77,0.9,1.15,0.88,1.2,0.88,0.94,0.88,0.66,0.88,0.72,0.88,0.31,0.88,0.81,0.88,0.38
0.9,0.72,0.9,0.76,0.92,1.13,0.9,1.17,0.9,0.89,0.9,0.62,0.9,0.68,0.9,0.27,0.9,0.79,0.9,0.35
0.92,0.67,0.92,0.74,0.94,1.11,0.92,1.15,0.92,0.85,0.92,0.58,0.92,0.64,0.92,0.22,0.92,0.77,0.92,0.32
0.94,0.61,0.94,0.72,0.96,1.09,0.94,1.26,0.94,0.81,0.94,0.54,0.94,0.6,0.94,0.18,0.94,0.75,0.94,0.3
0.96,0.55,0.96,0.7,0.98,1.06,0.96,1.13,0.96,0.77,0.96,0.49,0.96,0.55,0.96,0.14,0.96,0.72,0.96,0.27
0.98,0.49,0.98,0.68,1.0,1.03,0.98,1.07,0.98,0.72,0.98,0.45,0.98,0.51,0.98,0.12,0.98,0.69,0.98,0.24
1.0,0.44,1.0,0.67,1.02,1.0,1.0,1.04,1.0,0.68,1.0,0.41,1.0,0.47,1.0,0.1,1.0,0.66,1.0,0.21
1.02,0.38,1.02,0.65,1.04,0.97,1.02,1.0,1.02,0.63,1.02,0.36,1.02,0.42,,,1.02,0.63,1.02,0.18
1.04,0.32,1.04,0.63,1.06,0.93,1.04,0.97,1.04,0.58,1.04,0.32,1.04,0.38,,,1.04,0.6,1.04,0.15
1.06,0.26,1.06,0.61,1.08,0.89,1.06,0.93,1.06,0.53,1.06,0.27,1.06,0.33,,,1.06,0.57,1.06,0.12
1.08,0.2,1.08,0.59,1.1,0.86,1.08,0.89,1.08,0.48,1.08,0.22,1.08,0.29,,,1.08,0.54,1.08,0.09
1.1,0.13,1.1,0.58,1.12,0.81,1.1,0.85,1.1,0.43,1.1,0.17,1.1,0.24,,,1.1,0.51,,
1.14,0.0,1.12,0.56,1.14,0.77,1.12,0.81,1.12,0.38,1.12,0.13,1.12,0.19,,,1.12,0.48,,
,,1.14,0.53,1.16,0.73,1.14,0.76,1.14,0.32,1.14,0.09,1.14,0.14,,,1.14,0.45,,
,,1.16,0.51,1.18,0.68,1.16,0.73,1.16,0.27,,,1.16,0.12,,,1.16,0.41,,
,,1.18,0.5,1.2,0.63,1.18,0.68,1.18,0.21,,,1.18,0.09,,,1.18,0.38,,
,,1.2,0.48,1.22,0.58,1.2,0.62,1.2,0.16,,,,,,,1.2,0.35,,
,,1.22,0.46,1.24,0.53,1.22,0.57,1.22,0.12,,,,,,,1.22,0.31,,
,,1.24,0.44,1.26,0.48,1.24,0.52,1.24,0.14,,,,,,,1.24,0.28,,
,,1.26,0.42,1.28,0.42,1.26,0.47,1.26,0.0,,,,,,,1.26,0.24,,
,,1.28,0.4,1.3,0.37,1.28,0.41,,,,,,,,,1.28,0.2,,
,,1.3,0.38,1.32,0.31,1.3,0.36,,,,,,,,,1.3,0.17,,
,,1.32,0.35,1.34,0.25,1.32,0.31,,,,,,,,,1.32,0.13,,
